Cell_Name_Vevo,drug,concentration,plate,tau,direction,positions,n,omega
HS-578T,Panobinostat,5.0,12,2.0,closed,b2,1,24
HS-578T,TAK-901,5.0,3,2.0,closed,b2,1,24
HT-29,Auranofin,5.0,12,2.0,closed,b1|b2,2,12
HT-29,Belinostat,5.0,12,2.0,closed,b2,1,24
HT-29,Bortezomib,0.050000000745058,1,2.0,closed,b1|b2|b5,3,6
HT-29,Bortezomib,0.5,2,2.0,closed,b2,1,24
HT-29,Bortezomib,5.0,3,2.0,closed,b2,1,24
HT-29,Brivudine,5.0,3,2.0,closed,b2,1,24
HT-29,EX229,5.0,3,2.0,closed,b2,1,24
HT-29,Homoharringtonine,5.0,6,2.0,closed,b2,1,24
HT-29,Homoharringtonine,5.0,14,2.0,closed,b2,1,24
HT-29,Idarubicin (hydrochloride),5.0,14,2.0,closed,b2,1,24
HT-29,Ixazomib citrate,0.5,11,2.0,closed,b1|b2|b5,3,6
HT-29,Ixazomib citrate,5.0,12,2.0,closed,b2|b5,2,12
HT-29,Niclosamide (olamine),5.0,9,2.0,closed,b2,1,24
HT-29,Panobinostat,5.0,12,2.0,closed,b2,1,24
HT-29,TAK-901,5.0,3,2.0,closed,b2,1,24
Hs 766T,TAK-901,5.0,3,2.0,closed,b2,1,24
LoVo,Auranofin,5.0,12,2.0,closed,b1|b5,2,12
LoVo,Belinostat,5.0,12,2.0,closed,b2,1,24
LoVo,Bortezomib,0.050000000745058,1,2.0,closed,b1|b5,2,12
LoVo,Bortezomib,5.0,3,2.0,closed,b5,1,24
LoVo,Brivudine,5.0,3,2.0,closed,b2,1,24
LoVo,Digitoxin,0.5,11,2.0,closed,b1|b2,2,12
LoVo,Digitoxin,5.0,12,2.0,closed,b1,1,24
LoVo,Erlotinib,5.0,9,2.0,closed,b2,1,24
LoVo,Fedratinib (hydrochloride hydrate),5.0,12,2.0,closed,b1,1,24
LoVo,Ixazomib citrate,0.5,11,2.0,closed,b1|b2|b5,3,6
LoVo,Ixazomib citrate,5.0,12,2.0,closed,b1|b2|b5,3,6
LoVo,NG25,5.0,3,2.0,closed,b1,1,24
LoVo,Ouabain (Octahydrate),0.5,11,2.0,closed,b2,1,24
LoVo,Ouabain (Octahydrate),5.0,12,2.0,closed,b2,1,24
LoVo,PH-797804,5.0,3,2.0,closed,b2,1,24
LoVo,Panobinostat,0.050000000745058,10,2.0,closed,b2,1,24
LoVo,Panobinostat,0.5,11,2.0,closed,b2|b5,2,12
LoVo,Panobinostat,5.0,12,2.0,closed,b2|b5,2,12
LoVo,TAK-901,5.0,3,2.0,closed,b2,1,24
LoVo,Thymopentin,5.0,9,2.0,closed,b2,1,24
LoVo,Tofacitinib,5.0,6,2.0,closed,b1,1,24
LoVo,Tofacitinib (citrate),0.5,5,2.0,closed,b1,1,24
LoVo,Tofacitinib (citrate),5.0,6,2.0,closed,b1,1,24
LoVo,Verteporfin,5.0,9,2.0,closed,b2,1,24
MIA PaCa-2,AZD1390,0.5,2,2.0,closed,b5,1,24
MIA PaCa-2,Auranofin,5.0,12,2.0,closed,b1|b2|b5,3,6
MIA PaCa-2,Bortezomib,0.050000000745058,1,2.0,closed,b1|b2,2,12
MIA PaCa-2,Bortezomib,0.5,2,2.0,closed,b5,1,24
MIA PaCa-2,Bortezomib,5.0,3,2.0,closed,b1,1,24
MIA PaCa-2,Dinaciclib,0.5,8,2.0,closed,b1,1,24
MIA PaCa-2,EX229,5.0,3,2.0,closed,b1,1,24
MIA PaCa-2,Fedratinib (hydrochloride hydrate),5.0,12,2.0,closed,b1|b5,2,12
MIA PaCa-2,Harringtonine,5.0,9,2.0,closed,b1,1,24
MIA PaCa-2,Infigratinib,5.0,3,2.0,closed,b1,1,24
MIA PaCa-2,Irinotecan (hydrochloride),5.0,13,2.0,closed,b5,1,24
MIA PaCa-2,Ixazomib citrate,0.5,11,2.0,closed,b1|b5,2,12
MIA PaCa-2,Ixazomib citrate,5.0,12,2.0,closed,b1|b2|b5,3,6
MIA PaCa-2,Mebendazole,5.0,9,2.0,closed,b1,1,24
MIA PaCa-2,Mitoxantrone (dihydrochloride),5.0,6,2.0,closed,b5,1,24
MIA PaCa-2,PH-797804,5.0,3,2.0,closed,b1,1,24
MIA PaCa-2,Panobinostat,5.0,12,2.0,closed,b5,1,24
MIA PaCa-2,Peretinoin,5.0,9,2.0,closed,b2,1,24
MIA PaCa-2,Rapamycin,0.5,5,2.0,closed,b2,1,24
MIA PaCa-2,Sapanisertib,0.050000000745058,1,2.0,closed,b2,1,24
MIA PaCa-2,TAK-901,5.0,3,2.0,closed,b2,1,24
MIA PaCa-2,Tofacitinib,0.5,5,2.0,closed,b1|b5,2,12
MIA PaCa-2,Tofacitinib,5.0,6,2.0,closed,b1,1,24
MIA PaCa-2,Tofacitinib,5.0,14,2.0,closed,b1,1,24
MIA PaCa-2,Tofacitinib (citrate),0.5,5,2.0,closed,b1|b5,2,12
MIA PaCa-2,Tofacitinib (citrate),5.0,6,2.0,closed,b1,1,24
MIA PaCa-2,Tolcapone,0.050000000745058,4,2.0,closed,b5,1,24
MIA PaCa-2,Vinblastine (sulfate),5.0,6,2.0,closed,b1|b2,2,12
MIA PaCa-2,Vinblastine (sulfate),5.0,14,2.0,closed,b1,1,24
MIA PaCa-2,vincristine,0.050000000745058,1,2.0,closed,b2,1,24
RKO,Bortezomib,0.050000000745058,1,2.0,closed,b2,1,24
RKO,Daptomycin,5.0,13,2.0,closed,b1,1,24
RKO,Hesperidin,0.050000000745058,7,2.0,closed,b1,1,24
RKO,Saquinavir,5.0,6,2.0,closed,b1,1,24
RKO,TAK-901,5.0,3,2.0,closed,b2,1,24
RKO,Verapamil,0.5,8,2.0,closed,b1,1,24
RKO,c-Kit-IN-1,0.050000000745058,13,2.0,closed,b1,1,24
SHP-77,Digitoxin,0.5,11,2.0,closed,b5,1,24
SHP-77,Ixazomib citrate,5.0,12,2.0,closed,b5,1,24
SHP-77,TAK-901,5.0,3,2.0,closed,b2,1,24
SHP-77,c-Kit-IN-1,0.050000000745058,13,2.0,closed,b1,1,24
SW 900,Afatinib,0.5,2,2.0,closed,b2,1,24
SW 900,Auranofin,5.0,12,2.0,closed,b1,1,24
SW 900,Irinotecan,0.5,2,2.0,closed,b2,1,24
SW 900,Ixazomib citrate,5.0,12,2.0,closed,b1,1,24
SW 900,Larotrectinib sulfate,0.5,13,2.0,closed,b1,1,24
SW 900,Panobinostat,0.050000000745058,10,2.0,closed,b2,1,24
SW 900,Pimozide,5.0,12,2.0,closed,b1,1,24
SW1417,Auranofin,5.0,12,2.0,closed,b1|b5,2,12
SW1417,Ixazomib citrate,5.0,12,2.0,closed,b2,1,24
SW1417,NG25,5.0,3,2.0,closed,b1,1,24
SW1417,Ouabain (Octahydrate),0.5,11,2.0,closed,b2,1,24
SW1417,PH-797804,5.0,3,2.0,closed,b2,1,24
SW1417,Panobinostat,0.050000000745058,10,2.0,closed,b2,1,24
SW1417,Panobinostat,5.0,12,2.0,closed,b2,1,24
SW1417,TAK-901,0.050000000745058,1,2.0,closed,b2,1,24
SW1417,TAK-901,5.0,3,2.0,closed,b2,1,24
SW480,Bortezomib,0.050000000745058,1,2.0,closed,b2,1,24
SW480,Bortezomib,5.0,3,2.0,closed,b2,1,24
SW480,Brivudine,5.0,3,2.0,closed,b2,1,24
SW480,Homoharringtonine,0.5,5,2.0,closed,b2,1,24
SW480,Homoharringtonine,5.0,6,2.0,closed,b2,1,24
SW480,Ixazomib citrate,0.5,11,2.0,closed,b1|b5,2,12
SW480,Ouabain (Octahydrate),0.5,11,2.0,closed,b1,1,24
SW480,Ouabain (Octahydrate),5.0,12,2.0,closed,b2,1,24
SW480,PH-797804,5.0,3,2.0,closed,b2,1,24
SW480,Simotinib,5.0,9,2.0,closed,b5,1,24
SW480,TAK-901,0.050000000745058,1,2.0,closed,b2,1,24
SW480,TAK-901,5.0,3,2.0,closed,b2,1,24
SW480,Tubulin inhibitor 6,5.0,3,2.0,closed,b5,1,24
